[2024-04-17 12:45:35][Debug] Driver init
[2024-04-17 12:45:36][Event] =MRA Crawler ver1.0=
[2024-04-17 12:45:42][Debug] Get *https://www.mrashop.de/com/model-based-products/* page
[2024-04-17 12:46:35][Debug] Brand : YAMAHA, Model : GTS 1000, Year : BJ 93-, Value : https://www.mrashop.de/com/model-based-products/yamaha/gts-1000/bj-93/
[2024-04-17 12:46:36][Debug] Brand : YAMAHA, Model : Majesty 400, Year : BJ 09-, Value : https://www.mrashop.de/com/model-based-products/yamaha/majesty-400/bj-09/
[2024-04-17 12:46:36][Debug] Brand : YAMAHA, Model : Majesty 400, Year : BJ 04-08, Value : https://www.mrashop.de/com/model-based-products/yamaha/majesty-400/bj-04-08/
[2024-04-17 12:46:39][Debug] Brand : YAMAHA, Model : Majesty YP 250 R, Year : BJ 99-, Value : https://www.mrashop.de/com/model-based-products/yamaha/majesty-yp-250-r/bj-99/
[2024-04-17 12:46:41][Debug] Brand : YAMAHA, Model : MT-01, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-01/alle-bj/
[2024-04-17 12:46:43][Debug] Brand : YAMAHA, Model : MT-03, Year : BJ -14, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-03/bj-14/
[2024-04-17 12:46:43][Debug] Brand : YAMAHA, Model : MT-03, Year : BJ 15-19, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-03/bj-15-19/
[2024-04-17 12:46:45][Debug] Brand : YAMAHA, Model : MT-07, Year : BJ 14-17, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-07/bj-14-17/
[2024-04-17 12:46:45][Debug] Brand : YAMAHA, Model : MT-07, Year : BJ 18-20, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-07/bj-18-20/
[2024-04-17 12:46:45][Debug] Brand : YAMAHA, Model : MT-07, Year : BJ 21-, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-07/bj-21/
[2024-04-17 12:46:47][Debug] Brand : YAMAHA, Model : MT-07 Tracer, Year : BJ 16-19, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-07-tracer/bj-16-19/
[2024-04-17 12:46:49][Debug] Brand : YAMAHA, Model : MT-09, Year : BJ 21-23, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-09/bj-21-23/
[2024-04-17 12:46:49][Debug] Brand : YAMAHA, Model : MT-09, Year : BJ 14-16, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-09/bj-14-16/
[2024-04-17 12:46:49][Debug] Brand : YAMAHA, Model : MT-09, Year : BJ 17-20, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-09/bj-17-20/
[2024-04-17 12:46:51][Debug] Brand : YAMAHA, Model : MT-09 Tracer, Year : BJ 15-17, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-09-tracer/bj-15-17/
[2024-04-17 12:46:53][Debug] Brand : YAMAHA, Model : MT-10 /SP, Year : BJ 16-21, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-10-sp/bj-16-21/
[2024-04-17 12:46:53][Debug] Brand : YAMAHA, Model : MT-10 /SP, Year : BJ 22-, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-10-sp/bj-22/
[2024-04-17 12:46:55][Debug] Brand : YAMAHA, Model : MT-125, Year : BJ 15-19, Value : https://www.mrashop.de/com/model-based-products/yamaha/mt-125/bj-15-19/
[2024-04-17 12:46:57][Debug] Brand : YAMAHA, Model : Neos 4T 50, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/neos-4t-50/alle-bj/
[2024-04-17 12:46:59][Debug] Brand : YAMAHA, Model : NMax 125 / 150, Year : BJ 16-20, Value : https://www.mrashop.de/com/model-based-products/yamaha/nmax-125-150/bj-16-20/
[2024-04-17 12:47:01][Debug] Brand : YAMAHA, Model : R 6S, Year : BJ 06-, Value : https://www.mrashop.de/com/model-based-products/yamaha/r-6s/bj-06/
[2024-04-17 12:47:04][Debug] Brand : YAMAHA, Model : RD 350, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/rd-350/alle-bj/
[2024-04-17 12:47:05][Debug] Brand : YAMAHA, Model : RD 350 Lenkerverkleidung, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/rd-350-lenkerverkleidung/alle-bj/
[2024-04-17 12:47:07][Debug] Brand : YAMAHA, Model : RD 500, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/rd-500/alle-bj/
[2024-04-17 12:47:09][Debug] Brand : YAMAHA, Model : SR 125, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/sr-125/alle-bj/
[2024-04-17 12:47:12][Debug] Brand : YAMAHA, Model : SR 500, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/sr-500/alle-bj/
[2024-04-17 12:47:13][Debug] Brand : YAMAHA, Model : SZR 660, Year : BJ 96-, Value : https://www.mrashop.de/com/model-based-products/yamaha/szr-660/bj-96/
[2024-04-17 12:47:17][Debug] Brand : YAMAHA, Model : T-MAX, Year : BJ 01-07, Value : https://www.mrashop.de/com/model-based-products/yamaha/t-max/bj-01-07/
[2024-04-17 12:47:17][Debug] Brand : YAMAHA, Model : T-MAX, Year : BJ 08-11, Value : https://www.mrashop.de/com/model-based-products/yamaha/t-max/bj-08-11/
[2024-04-17 12:47:17][Debug] Brand : YAMAHA, Model : T-MAX, Year : BJ 12-15, Value : https://www.mrashop.de/com/model-based-products/yamaha/t-max/bj-12-15/
[2024-04-17 12:47:17][Debug] Brand : YAMAHA, Model : T-MAX, Year : BJ 21-, Value : https://www.mrashop.de/com/model-based-products/yamaha/t-max/bj-21/
[2024-04-17 12:47:18][Debug] Brand : YAMAHA, Model : TDM 850, Year : BJ -95, Value : https://www.mrashop.de/com/model-based-products/yamaha/tdm-850/bj-95/
[2024-04-17 12:47:18][Debug] Brand : YAMAHA, Model : TDM 850, Year : BJ 96-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tdm-850/bj-96/
[2024-04-17 12:47:21][Debug] Brand : YAMAHA, Model : TDM 900, Year : BJ 02-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tdm-900/bj-02/
[2024-04-17 12:47:23][Debug] Brand : YAMAHA, Model : Tenere 700, Year : BJ 19-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tenere-700/bj-19/
[2024-04-17 12:47:25][Debug] Brand : YAMAHA, Model : Tracer 7, Year : BJ 21-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tracer-7/bj-21/
[2024-04-17 12:47:27][Debug] Brand : YAMAHA, Model : Tracer 700, Year : BJ 16-19, Value : https://www.mrashop.de/com/model-based-products/yamaha/tracer-700/bj-16-19/
[2024-04-17 12:47:27][Debug] Brand : YAMAHA, Model : Tracer 700, Year : BJ 20-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tracer-700/bj-20/
[2024-04-17 12:47:30][Debug] Brand : YAMAHA, Model : Tracer 9 /GT, Year : BJ 21-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tracer-9-gt/bj-21/
[2024-04-17 12:47:32][Debug] Brand : YAMAHA, Model : Tracer 900 /GT, Year : BJ 18-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tracer-900-gt/bj-18/
[2024-04-17 12:47:34][Debug] Brand : YAMAHA, Model : Tricity 125, Year : BJ -19, Value : https://www.mrashop.de/com/model-based-products/yamaha/tricity-125/bj-19/
[2024-04-17 12:47:36][Debug] Brand : YAMAHA, Model : TRX 850, Year : BJ 96-, Value : https://www.mrashop.de/com/model-based-products/yamaha/trx-850/bj-96/
[2024-04-17 12:47:38][Debug] Brand : YAMAHA, Model : TT 600 E / S, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/tt-600-e-s/alle-bj/
[2024-04-17 12:47:40][Debug] Brand : YAMAHA, Model : TW 125, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/tw-125/alle-bj/
[2024-04-17 12:47:42][Debug] Brand : YAMAHA, Model : TZR 125, Year : BJ 88-92, Value : https://www.mrashop.de/com/model-based-products/yamaha/tzr-125/bj-88-92/
[2024-04-17 12:47:42][Debug] Brand : YAMAHA, Model : TZR 125, Year : BJ 91-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tzr-125/bj-91/
[2024-04-17 12:47:42][Debug] Brand : YAMAHA, Model : TZR 125, Year : BJ 93-, Value : https://www.mrashop.de/com/model-based-products/yamaha/tzr-125/bj-93/
[2024-04-17 12:47:44][Debug] Brand : YAMAHA, Model : TZR 250, Year : BJ -89, Value : https://www.mrashop.de/com/model-based-products/yamaha/tzr-250/bj-89/
[2024-04-17 12:47:46][Debug] Brand : YAMAHA, Model : V Max 1700, Year : BJ 08-, Value : https://www.mrashop.de/com/cat/index/sCategory/90005818
[2024-04-17 12:47:48][Debug] Brand : YAMAHA, Model : V-MAX, Year : BJ -11, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max/bj-11/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 85-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-85/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 86-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-86/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 88-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-88/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 89-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-89/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 91-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-91/
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 93-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-93/
